course_id	assignment_id	enabled	model	notes
16388	368044	TRUE	gpt-5.2	Comp I Short Story 1
16388	365583	TRUE	gpt-5.2	Comp I Rhetorical Analysis
16388	368448	TRUE	gpt-5.2	Comp I Critical Essay
